rank         lambda         numIter         numPartitions         train_RMSE         val_RMSE         duration
 5           0.010            10                 7                 0.69003           1.43858             9
 5           0.010            10                 9                 0.68992           1.44783             9
 5           0.010            15                 2                 0.67185           1.46980            13
 5           0.010            15                 3                 0.67402           1.47434            11
 5           0.010            15                 4                 0.68158           1.50787            10
 5           0.010            15                 5                 0.67322           1.47519            10
 5           0.010            15                 7                 0.67065           1.45613            10
 5           0.010            15                 9                 0.67788           1.49319            10
 5           0.010            20                 2                 0.66218           1.48794            13
 5           0.010            20                 3                 0.66276           1.48856            12
 5           0.010            20                 4                 0.67101           1.54297            11
 5           0.010            20                 5                 0.66637           1.49804            10
 5           0.010            20                 7                 0.67311           1.53602            10
 5           0.010            20                 9                 0.66339           1.47748            10
 5           0.020            10                 2                 0.69660           1.38120            12
 5           0.020            10                 3                 0.68852           1.34592            10
 5           0.020            10                 4                 0.69284           1.36399             9
 5           0.020            10                 5                 0.68840           1.34345             9
 5           0.020            10                 7                 0.69369           1.36416             9
 5           0.020            10                 9                 0.68962           1.34739             9
 5           0.020            15                 2                 0.67773           1.37299            12
 5           0.020            15                 3                 0.67428           1.36520            11
 5           0.020            15                 4                 0.67518           1.36996            10
 5           0.020            15                 5                 0.67033           1.35256            10
 5           0.020            15                 7                 0.67871           1.37471            10
 5           0.020            15                 9                 0.67862           1.37133             9
 5           0.020            20                 2                 0.66787           1.37540            13
 5           0.020            20                 3                 0.66786           1.37016            11
 5           0.020            20                 4                 0.66821           1.37319            11
 5           0.020            20                 5                 0.66534           1.36669            10
 5           0.020            20                 7                 0.66706           1.36010            10
 5           0.020            20                 9                 0.66831           1.37234            10
 5           0.040            10                 2                 0.70411           1.27910            12
 5           0.040            10                 3                 0.70437           1.28243            10
 5           0.040            10                 4                 0.69909           1.25919             9
 5           0.040            10                 5                 0.70147           1.27648             9
 5           0.040            10                 7                 0.70224           1.27749             9
 5           0.040            10                 9                 0.69791           1.25664             9
 5           0.040            15                 2                 0.67911           1.24750            13
 5           0.040            15                 3                 0.67857           1.24956            11
 5           0.040            15                 4                 0.68604           1.26380            10
 5           0.040            15                 5                 0.68477           1.26050            10
 5           0.040            15                 7                 0.68089           1.25206            10
 5           0.040            15                 9                 0.68214           1.25784             9
 5           0.040            20                 2                 0.68181           1.27217            13
 5           0.040            20                 3                 0.67656           1.25935            11
 5           0.040            20                 4                 0.67557           1.25874            11
 5           0.040            20                 5                 0.67664           1.25518            10
 5           0.040            20                 7                 0.67937           1.26364            10
 5           0.040            20                 9                 0.67903           1.26301            10
 5           0.080            10                 2                 0.73121           1.19783            12
 5           0.080            10                 3                 0.71752           1.16241            10
 5           0.080            10                 4                 0.72267           1.17987             9
 5           0.080            10                 5                 0.71414           1.15617             9
 5           0.080            10                 7                 0.72532           1.18015             9
 5           0.080            10                 9                 0.72562           1.18366             9
 5           0.080            15                 2                 0.71130           1.17439            13
 5           0.080            15                 3                 0.70644           1.16381            11
 5           0.080            15                 4                 0.72096           1.18904            10
 5           0.080            15                 5                 0.70358           1.15706            10
 5           0.080            15                 7                 0.72388           1.20669            10
 5           0.080            15                 9                 0.71117           1.16761             9
 5           0.080            20                 2                 0.70452           1.16467            13
 5           0.080            20                 3                 0.70125           1.16110            11
 5           0.080            20                 4                 0.70204           1.15858            11
 5           0.080            20                 5                 0.70138           1.16118            10
 5           0.080            20                 7                 0.70484           1.16862            10
 5           0.080            20                 9                 0.70226           1.16371            10
 5           0.100            10                 2                 0.73739           1.14467            12
 5           0.100            10                 3                 0.73727           1.14741            10
 5           0.100            10                 4                 0.73939           1.15124             9
 5           0.100            10                 5                 0.74027           1.15312             9
 5           0.100            10                 7                 0.73072           1.13031             9
 5           0.100            10                 9                 0.73460           1.13782             9
 5           0.100            15                 2                 0.72246           1.13152            13
 5           0.100            15                 3                 0.72281           1.13459            11
 5           0.100            15                 4                 0.71941           1.12821            10
 5           0.100            15                 5                 0.72968           1.14740            10
 5           0.100            15                 7                 0.72403           1.13513             9
 5           0.100            15                 9                 0.72571           1.14299            10
 5           0.100            20                 2                 0.72050           1.13540            13
 5           0.100            20                 3                 0.71867           1.13778            12
 5           0.100            20                 4                 0.71769           1.13088            11
 5           0.100            20                 5                 0.71848           1.13697            10
 5           0.100            20                 7                 0.71595           1.13076            10
 5           0.100            20                 9                 0.71785           1.13646            10
 5           0.200            10                 2                 0.82697           1.08918            12
 5           0.200            10                 3                 0.82687           1.08920            10
 5           0.200            10                 4                 0.82717           1.09178             9
 5           0.200            10                 5                 0.82434           1.08536             9
 5           0.200            10                 7                 0.81979           1.07610             9
 5           0.200            10                 9                 0.82270           1.07744             9
 5           0.200            15                 2                 0.81367           1.07141            13
 5           0.200            15                 3                 0.81873           1.08253            11
 5           0.200            15                 4                 0.81315           1.07053            10
 5           0.200            15                 5                 0.81380           1.07036            10
 5           0.200            15                 7                 0.81325           1.07023            10
 5           0.200            15                 9                 0.81530           1.07516             9
 5           0.200            20                 2                 0.81207           1.07457            13
 5           0.200            20                 3                 0.81013           1.06994            11
 5           0.200            20                 4                 0.81058           1.07164            11
 5           0.200            20                 5                 0.81189           1.07222            10
 5           0.200            20                 7                 0.80931           1.06799            10
 5           0.200            20                 9                 0.81131           1.07294            10
 5           0.400            10                 2                 0.99503           1.09566            12
 5           0.400            10                 3                 0.99419           1.09218            10
 5           0.400            10                 4                 0.99511           1.09876            10
 5           0.400            10                 5                 0.99467           1.09033             9
 5           0.400            10                 7                 0.99708           1.11069             9
 5           0.400            10                 9                 0.99579           1.09973             9
 5           0.400            15                 2                 0.99254           1.08724            13
 5           0.400            15                 3                 0.99277           1.09165            11
 5           0.400            15                 4                 0.99320           1.08633            10
 5           0.400            15                 5                 0.99250           1.09080            10
 5           0.400            15                 7                 0.99240           1.08752             9
 5           0.400            15                 9                 0.99331           1.08657             9
 5           0.400            20                 2                 0.99168           1.08887            13
 5           0.400            20                 3                 0.99233           1.08585            11
